ID,clientName,industry
f01a2b3c-4d5e-6f7a-8b9c-0d1e2f3a4b5c,Acme Corporation,Technology
a1b2c3d4-e5f6-7a8b-9c0d-1e2f3a4b5c6d,Global Logistics,Supply Chain
c3d4e5f6-a7b8-9c0d-1e2f-3a4b5c6d7e8f,Pioneer Energy Solutions,Renewable Energy
d4e5f6a7-b89c-0d1e-2f3a-4b5c6d7e8f9a,NextGen EV Infrastructure,Electric Vehicles
e5f6a7b8-c9d0-1e2f-3a4b-5c6d7e8f9a0b,Apex Cloud Systems,Software
f6a7b8c9-d0e1-2f3a-4b5c-6d7e8f9a0b1c,Vanguard Power Grids,Smart Grid Technology
1a2b3c4d-5e6f-7a8b-9c0d-1e2f3a4b5c6d,Solaris Clean Energy,Solar Power
2b3c4d5e-6f7a-8b9c-0d1e-2f3a4b5c6d7e,EcoDrive Solutions,EV Charging
3c4d5e6f-7a8b-9c0d-1e2f-3a4b5c6d7e8f,Titan Automation,Industrial SAP
4d5e6f7a-8b9c-0d1e-2f3a-4b5c6d7e8f9a,BlueWave Technologies,IT Services
